mkt_unique_carrier,origin,dest,crs_dep_time,crs_arr_time,arr_delay,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region
DL,ATL,BTR,1738,1821,253.0,103.0,1.0,448.0,rain,rain,2018,12,27,3,3,South-Atlantic,West-South Central
UA,SEA,ORD,1345,2000,67.0,255.0,1.0,1721.0,rain,cloudy,2019,10,25,2,3,Pacific,East-North Central
AS,SEA,SFO,1600,1805,7.0,125.0,1.0,679.0,sunny,cloudy,2019,1,28,2,3,Pacific,Pacific
WN,OAK,LAS,1740,1905,-12.0,85.0,1.0,407.0,sunny,sunny,2018,10,13,3,3,Pacific,South-West
NK,DTW,MSP,800,900,-25.0,120.0,1.0,528.0,sunny,sunny,2018,3,17,0,0,East-North Central,West-North Central
UA,IAD,CHS,1710,1857,-3.0,107.0,1.0,441.0,sunny,rain,2018,5,25,3,3,Mid-Atlantic,South-Atlantic
UA,DEN,IDA,755,940,-17.0,105.0,1.0,458.0,rain,sunny,2018,10,1,0,0,South-West,North-West
DL,DTW,ORF,1540,1729,-5.0,109.0,1.0,529.0,sunny,sunny,2018,4,30,2,3,East-North Central,Mid-Atlantic
AA,DCA,BDL,1515,1639,-18.0,84.0,1.0,313.0,rain,rain,2019,7,12,2,2,Mid-Atlantic,New England
AA,PHL,CAK,1259,1424,0.0,85.0,1.0,335.0,rain,rain,2018,8,21,2,2,Mid-Atlantic,East-North Central
WN,LAX,DEN,620,945,-36.0,145.0,1.0,862.0,rain,sunny,2019,3,10,0,0,Pacific,South-West
B6,SJU,STT,1523,1558,-8.0,35.0,1.0,68.0,sunny,no weather data,2019,4,16,2,2,Offshore Territory,Offshore Territory
AA,ORD,ATL,1635,1934,-8.0,119.0,1.0,606.0,cloudy,rain,2019,3,3,2,3,East-North Central,South-Atlantic
DL,LGA,BTV,843,1016,50.0,93.0,1.0,258.0,cloudy,snow & rain,2019,1,23,0,0,Mid-Atlantic,New England
WN,DEN,MKE,1605,1925,-17.0,140.0,1.0,896.0,rain,sunny,2018,7,17,2,3,South-West,East-North Central
NK,MSP,MCO,800,1235,21.0,215.0,1.0,1310.0,snow,rain,2019,12,12,0,2,West-North Central,South-Atlantic
AA,DCA,PHL,1845,1947,13.0,62.0,1.0,119.0,rain,rain,2018,12,20,3,3,Mid-Atlantic,Mid-Atlantic
B6,RSW,DCA,1820,2048,-13.0,148.0,1.0,892.0,rain,sunny,2019,8,12,3,3,South-Atlantic,Mid-Atlantic
DL,BOS,LGA,1200,1324,-15.0,84.0,1.0,184.0,cloudy,cloudy,2018,2,20,2,2,New England,Mid-Atlantic
WN,BNA,RDU,1205,1440,-24.0,95.0,1.0,442.0,sunny,sunny,2019,9,7,2,2,East-South Central,South-Atlantic
AA,ORD,TUS,952,1132,-26.0,220.0,1.0,1437.0,rain,sunny,2019,7,27,0,0,East-North Central,South-West
WN,PHL,BNA,1725,1830,5.0,125.0,1.0,675.0,rain,rain,2019,4,12,3,3,Mid-Atlantic,East-South Central
UA,MSY,EWR,1945,2335,-4.0,170.0,1.0,1167.0,rain,sunny,2018,11,14,3,1,West-South Central,Mid-Atlantic
AA,CMH,ORD,706,745,-28.0,99.0,1.0,296.0,cloudy,sunny,2019,4,15,0,0,East-North Central,East-North Central
DL,FLL,ATL,1300,1457,-9.0,117.0,1.0,581.0,sunny,cloudy,2018,11,29,2,2,South-Atlantic,South-Atlantic
AA,AUS,DFW,508,614,23.0,66.0,1.0,190.0,rain,rain,2018,10,15,0,0,West-South Central,West-South Central
UA,BHM,ORD,1800,2015,-16.0,135.0,1.0,584.0,sunny,cloudy,2018,1,31,3,3,East-South Central,East-North Central
AS,SAN,SEA,620,905,24.0,165.0,1.0,1050.0,cloudy,cloudy,2018,6,21,0,0,Pacific,Pacific
UA,DEN,SUN,1125,1329,39.0,124.0,1.0,557.0,sunny,snow,2018,2,17,0,2,South-West,North-West
DL,JFK,DTW,1835,2101,-6.0,146.0,1.0,509.0,sunny,cloudy,2018,11,10,3,1,Mid-Atlantic,East-North Central
UA,DEN,SGF,750,1044,-13.0,114.0,1.0,637.0,snow,sunny,2019,11,25,0,0,South-West,West-North Central
WN,HOU,SJC,1035,1240,0.0,245.0,1.0,1621.0,cloudy,sunny,2018,4,8,0,2,West-South Central,Pacific
UA,PHX,IAH,1419,1848,-7.0,149.0,1.0,1009.0,sunny,rain,2018,5,25,2,3,South-West,West-South Central
WN,STL,MSP,1630,1805,-21.0,95.0,1.0,448.0,sunny,sunny,2019,5,20,2,3,West-North Central,West-North Central
UA,ORD,ABE,1806,2106,-22.0,120.0,1.0,654.0,sunny,sunny,2019,5,15,3,1,East-North Central,Mid-Atlantic
AA,DFW,ONT,1639,1742,-2.0,183.0,1.0,1188.0,sunny,sunny,2019,10,19,2,3,West-South Central,Pacific
DL,ATL,BNA,1750,1757,-1.0,67.0,1.0,214.0,sunny,sunny,2019,11,2,3,3,South-Atlantic,East-South Central
UA,SDF,EWR,600,810,-3.0,130.0,1.0,642.0,cloudy,snow & rain,2018,1,17,0,0,East-South Central,Mid-Atlantic
UA,ORD,IAD,1300,1555,-10.0,115.0,1.0,588.0,sunny,sunny,2019,10,23,2,2,East-North Central,Mid-Atlantic
AA,ATW,ORD,1805,1913,10.0,68.0,1.0,161.0,rain,sunny,2019,8,5,3,3,East-North Central,East-North Central
AA,ORD,DFW,1353,1630,-17.0,157.0,1.0,801.0,cloudy,sunny,2018,12,23,2,2,East-North Central,West-South Central
AS,SAN,BOI,1600,1920,141.0,140.0,1.0,749.0,rain,rain,2018,1,10,2,3,Pacific,North-West
WN,PDX,SJC,850,1035,-11.0,105.0,1.0,569.0,sunny,sunny,2019,9,2,0,0,Pacific,Pacific
UA,IAH,XNA,1630,1809,3.0,99.0,1.0,438.0,rain,rain,2019,4,8,2,3,West-South Central,West-South Central
DL,ATL,SEA,1924,2155,-13.0,331.0,1.0,2182.0,sunny,rain,2019,10,8,3,1,South-Atlantic,Pacific
DL,SEA,SFO,1700,1916,-23.0,136.0,1.0,679.0,rain,sunny,2018,9,16,3,3,Pacific,Pacific
UA,ORD,SNA,1609,1831,-19.0,262.0,1.0,1726.0,rain,sunny,2019,7,10,2,3,East-North Central,Pacific
AA,DTW,ORD,1034,1100,-3.0,86.0,1.0,235.0,rain,rain,2019,4,17,0,0,East-North Central,East-North Central
AS,PDX,ONT,1955,2216,-19.0,141.0,1.0,838.0,rain,sunny,2019,11,17,3,1,Pacific,Pacific
AA,CLT,CVG,1544,1705,-9.0,81.0,1.0,335.0,cloudy,cloudy,2019,1,1,2,3,South-Atlantic,East-North Central
HA,JFK,HNL,1000,1450,29.0,650.0,1.0,4983.0,rain,rain,2019,8,7,0,2,Mid-Atlantic,Pacific
DL,ATL,MCO,1055,1225,5.0,90.0,1.0,404.0,sunny,sunny,2018,2,24,0,2,South-Atlantic,South-Atlantic
DL,DCA,ATL,1105,1258,-13.0,113.0,1.0,547.0,cloudy,sunny,2018,4,1,0,2,Mid-Atlantic,South-Atlantic
AA,DTW,LGA,1114,1259,13.0,105.0,1.0,502.0,cloudy,cloudy,2018,1,21,0,2,East-North Central,Mid-Atlantic
AA,DCA,IND,850,1043,-12.0,113.0,1.0,500.0,rain,sunny,2019,8,1,0,0,Mid-Atlantic,East-North Central
WN,SNA,PHX,1600,1710,-8.0,70.0,1.0,338.0,cloudy,sunny,2018,3,20,2,3,Pacific,South-West
UA,ORD,PDX,1013,1247,34.0,274.0,1.0,1739.0,cloudy,rain,2018,12,19,0,2,East-North Central,Pacific
G4,PGD,CVG,1513,1729,438.0,136.0,1.0,850.0,rain,rain,2018,7,16,2,3,South-Atlantic,East-North Central
F9,PHL,SJU,830,1245,19.0,255.0,1.0,1576.0,rain,rain,2019,11,1,0,2,Mid-Atlantic,Offshore Territory
AA,MSY,DFW,805,950,42.0,105.0,1.0,447.0,sunny,rain,2018,10,14,0,0,West-South Central,West-South Central
AA,PHL,FLL,1534,1825,-13.0,171.0,1.0,992.0,cloudy,rain,2019,4,9,2,3,Mid-Atlantic,South-Atlantic
DL,ATL,MEM,1340,1406,-12.0,86.0,1.0,332.0,sunny,sunny,2018,1,5,2,2,South-Atlantic,East-South Central
DL,DTW,SBN,1220,1321,7.0,61.0,1.0,157.0,rain,rain,2019,4,29,2,2,East-North Central,East-North Central
B6,SJU,JFK,1949,2339,13.0,230.0,1.0,1598.0,rain,sunny,2018,8,29,3,1,Offshore Territory,Mid-Atlantic
WN,LAS,SJC,2135,2250,13.0,75.0,1.0,386.0,sunny,cloudy,2019,7,18,1,1,South-West,Pacific
AA,CLT,CAK,2209,2334,-3.0,85.0,1.0,394.0,sunny,rain,2018,8,29,1,1,South-Atlantic,East-North Central
DL,IAD,ATL,1100,1252,-15.0,112.0,1.0,534.0,cloudy,cloudy,2019,10,5,0,2,Mid-Atlantic,South-Atlantic
DL,JFK,CLT,1146,1349,-19.0,123.0,1.0,541.0,rain,rain,2019,7,6,0,2,Mid-Atlantic,South-Atlantic
DL,SLC,GJT,930,1044,-1.0,74.0,1.0,216.0,cloudy,cloudy,2019,12,27,0,0,South-West,South-West
DL,LGA,DTW,1059,1301,-15.0,122.0,1.0,502.0,cloudy,rain,2018,9,19,0,2,Mid-Atlantic,East-North Central
WN,SMF,BUR,925,1035,-4.0,70.0,1.0,358.0,rain,sunny,2019,1,8,0,0,Pacific,Pacific
WN,RDU,BNA,1105,1140,2.0,95.0,1.0,442.0,sunny,sunny,2019,3,19,0,0,South-Atlantic,East-South Central
UA,GJT,DEN,600,708,-7.0,68.0,1.0,212.0,rain,rain,2018,10,5,0,0,South-West,South-West
AA,PWM,PHL,1257,1440,44.0,103.0,1.0,364.0,rain,rain,2019,1,24,2,2,New England,Mid-Atlantic
AA,CLT,ILM,1306,1405,29.0,59.0,1.0,185.0,sunny,sunny,2018,3,2,2,2,South-Atlantic,South-Atlantic
AA,JAX,DFW,601,753,-12.0,172.0,1.0,918.0,rain,cloudy,2019,12,23,0,0,South-Atlantic,West-South Central
AA,PHL,IAH,835,1134,-24.0,239.0,1.0,1325.0,rain,sunny,2018,6,2,0,0,Mid-Atlantic,West-South Central
AA,PHL,ORF,1325,1435,-16.0,70.0,1.0,212.0,sunny,sunny,2018,8,15,2,2,Mid-Atlantic,Mid-Atlantic
AA,PHX,RDM,2025,2253,2.0,148.0,1.0,893.0,sunny,rain,2019,10,17,3,1,South-West,Pacific
DL,CHS,ATL,1006,1121,-13.0,75.0,1.0,259.0,rain,rain,2019,7,5,0,0,South-Atlantic,South-Atlantic
AS,SNA,SFO,1310,1438,-4.0,88.0,1.0,372.0,sunny,cloudy,2018,12,9,2,2,Pacific,Pacific
WN,DAL,MSY,1440,1600,-10.0,80.0,1.0,436.0,sunny,sunny,2018,1,30,2,2,West-South Central,West-South Central
DL,TUL,MSP,700,909,1.0,129.0,1.0,615.0,rain,cloudy,2018,8,23,0,0,West-South Central,West-North Central
DL,PDX,SLC,1310,1600,1.0,110.0,1.0,630.0,rain,sunny,2019,8,10,2,2,Pacific,South-West
UA,DEN,HSV,1736,2119,6.0,163.0,1.0,1048.0,sunny,rain,2018,6,26,3,1,South-West,East-South Central
UA,OGG,LAX,2032,500,-20.0,328.0,1.0,2486.0,no weather data,sunny,2018,7,21,3,0,Pacific,Pacific
AA,DFW,ORD,1025,1248,-13.0,143.0,1.0,801.0,sunny,rain,2019,4,12,0,2,West-South Central,East-North Central
WN,SMF,SAN,615,745,-13.0,90.0,1.0,480.0,sunny,sunny,2018,10,29,0,0,Pacific,Pacific
WN,MCI,PHX,605,700,-10.0,175.0,1.0,1044.0,rain,sunny,2018,3,29,0,0,West-North Central,South-West
DL,LGA,RDU,2029,2225,11.0,116.0,1.0,431.0,sunny,sunny,2018,11,21,3,1,Mid-Atlantic,South-Atlantic
AA,SDF,MIA,700,933,11.0,153.0,1.0,910.0,rain,rain,2018,5,22,0,0,East-South Central,South-Atlantic
AA,OMA,ORD,1412,1554,0.0,102.0,1.0,416.0,cloudy,rain,2019,12,30,2,2,West-North Central,East-North Central
G4,PIE,MCI,750,939,-14.0,169.0,1.0,1045.0,cloudy,sunny,2018,3,1,0,0,South-Atlantic,West-North Central
DL,DEN,DTW,1140,1631,24.0,171.0,1.0,1123.0,sunny,snow & rain,2018,3,1,0,2,South-West,East-North Central
AA,CVG,DFW,1147,1325,14.0,158.0,1.0,812.0,cloudy,sunny,2019,4,15,0,2,East-North Central,West-South Central
UA,DEN,EWR,1545,2141,-33.0,236.0,1.0,1605.0,sunny,sunny,2019,7,9,2,1,South-West,Mid-Atlantic
AA,RIC,ORD,740,856,6.0,136.0,1.0,642.0,rain,rain,2019,5,8,0,0,Mid-Atlantic,East-North Central
UA,SGF,DEN,1655,1808,39.0,133.0,1.0,637.0,sunny,sunny,2019,12,2,2,3,West-North Central,South-West
AS,BIL,SEA,1908,2029,-20.0,141.0,1.0,664.0,sunny,cloudy,2018,7,6,3,3,North-West,Pacific
DL,ATL,RIC,1559,1732,-16.0,93.0,1.0,481.0,rain,rain,2019,12,10,2,3,South-Atlantic,Mid-Atlantic
G4,SFB,GRR,1608,1851,-3.0,163.0,1.0,1001.0,sunny,cloudy,2018,2,15,2,3,South-Atlantic,East-North Central
G4,AUS,LAS,2055,2141,-1.0,166.0,1.0,1090.0,cloudy,sunny,2018,6,21,3,1,West-South Central,South-West
G4,BLV,SFB,1929,2236,-7.0,127.0,1.0,835.0,rain,cloudy,2019,10,10,3,1,East-North Central,South-Atlantic
UA,SGF,ORD,1515,1657,0.0,102.0,1.0,438.0,cloudy,snow,2019,1,31,2,2,West-North Central,East-North Central
AA,CAE,DFW,1510,1704,6.0,174.0,1.0,922.0,sunny,rain,2018,9,20,2,3,South-Atlantic,West-South Central
DL,MSP,IAH,859,1221,21.0,202.0,1.0,1034.0,snow,rain,2019,2,23,0,2,West-North Central,West-South Central
UA,ISN,DEN,758,910,-18.0,132.0,1.0,576.0,sunny,sunny,2018,1,31,0,0,West-North Central,South-West
DL,ORD,JFK,1215,1544,-26.0,149.0,1.0,740.0,rain,sunny,2018,9,30,2,2,East-North Central,Mid-Atlantic
AA,MCI,ORD,554,740,-10.0,106.0,1.0,403.0,cloudy,cloudy,2019,1,17,0,0,West-North Central,East-North Central
NK,ATL,MSY,1625,1659,10.0,94.0,1.0,425.0,rain,rain,2019,8,20,2,2,South-Atlantic,West-South Central
DL,BOS,ATL,600,844,-12.0,164.0,1.0,946.0,sunny,cloudy,2019,9,19,0,0,New England,South-Atlantic
UA,DEN,SFO,1416,1558,-13.0,162.0,1.0,967.0,sunny,sunny,2018,7,8,2,2,South-West,Pacific
G4,OAK,EUG,1249,1418,-5.0,89.0,1.0,445.0,sunny,cloudy,2018,11,15,2,2,Pacific,Pacific
AA,OKC,DCA,804,1200,-7.0,176.0,1.0,1158.0,sunny,sunny,2019,6,1,0,2,West-South Central,Mid-Atlantic
AA,OKC,DFW,1019,1129,-19.0,70.0,1.0,175.0,rain,rain,2019,11,21,0,0,West-South Central,West-South Central
UA,MKE,ORD,1335,1431,79.0,56.0,1.0,67.0,rain,rain,2018,5,3,2,2,East-North Central,East-North Central
WN,CLE,LAS,530,650,12.0,260.0,1.0,1824.0,rain,sunny,2018,6,16,0,0,East-North Central,South-West
WN,LAS,DSM,1310,1805,5.0,175.0,1.0,1216.0,sunny,rain,2019,12,28,2,3,South-West,West-North Central
AA,MIA,JFK,1935,2238,20.0,183.0,1.0,1089.0,rain,rain,2018,10,12,3,1,South-Atlantic,Mid-Atlantic
DL,BWI,ATL,1640,1839,-22.0,119.0,1.0,577.0,rain,cloudy,2019,4,28,2,3,Mid-Atlantic,South-Atlantic
UA,SJU,IAH,1715,2006,9.0,291.0,1.0,2007.0,rain,sunny,2019,12,3,3,3,Offshore Territory,West-South Central
UA,SAF,DEN,1315,1434,39.0,79.0,1.0,303.0,rain,snow,2018,10,14,2,2,South-West,South-West
AA,IND,ORD,611,626,-9.0,75.0,1.0,177.0,rain,cloudy,2018,1,23,0,0,East-North Central,East-North Central
DL,SLC,HLN,1730,1906,-25.0,96.0,1.0,402.0,sunny,snow & rain,2019,10,26,3,3,South-West,North-West
UA,FAR,ORD,1040,1243,-17.0,123.0,1.0,557.0,cloudy,snow & rain,2019,4,27,0,2,West-North Central,East-North Central
AS,RNO,SJC,1830,1935,-8.0,65.0,1.0,188.0,sunny,sunny,2019,1,3,3,3,South-West,Pacific
AA,MIA,SJU,1025,1404,-20.0,159.0,1.0,1045.0,cloudy,cloudy,2019,1,1,0,2,South-Atlantic,Offshore Territory
AA,LAX,CLT,1122,1919,-14.0,297.0,1.0,2125.0,sunny,rain,2018,6,11,0,3,Pacific,South-Atlantic
AA,CLT,MIA,2015,2222,-10.0,127.0,1.0,650.0,sunny,cloudy,2018,1,25,3,1,South-Atlantic,South-Atlantic
B6,JFK,BTV,1122,1239,-21.0,77.0,1.0,266.0,rain,rain,2019,5,14,0,2,Mid-Atlantic,New England
DL,ATL,CAE,2332,30,-16.0,58.0,1.0,192.0,rain,rain,2019,12,29,1,1,South-Atlantic,South-Atlantic
UA,ICT,IAH,640,827,-10.0,107.0,1.0,542.0,rain,sunny,2019,5,25,0,0,West-North Central,West-South Central
WN,STL,MSP,2155,2320,9.0,85.0,1.0,448.0,sunny,sunny,2018,4,29,1,1,West-North Central,West-North Central
DL,CMH,LGA,1817,2010,22.0,113.0,1.0,479.0,rain,rain,2018,5,14,3,3,East-North Central,Mid-Atlantic
DL,DTW,SLC,820,1049,-35.0,269.0,1.0,1481.0,cloudy,rain,2018,11,28,0,0,East-North Central,South-West
AA,LAX,ELP,1410,1659,-6.0,109.0,1.0,715.0,sunny,sunny,2019,1,3,2,2,Pacific,West-South Central
WN,DEN,DAL,1835,2125,15.0,110.0,1.0,651.0,sunny,cloudy,2018,2,26,3,1,South-West,West-South Central
DL,SAN,MSP,750,1327,-17.0,217.0,1.0,1532.0,sunny,sunny,2019,3,22,0,2,Pacific,West-North Central
DL,ATL,ROA,901,1029,-2.0,88.0,1.0,357.0,sunny,sunny,2018,7,28,0,0,South-Atlantic,Mid-Atlantic
AA,DCA,DAY,750,922,-21.0,92.0,1.0,391.0,sunny,sunny,2018,5,2,0,0,Mid-Atlantic,East-North Central
WN,HNL,OGG,1945,2030,-5.0,45.0,1.0,100.0,sunny,no weather data,2019,8,1,3,3,Pacific,Pacific
AA,DAY,ORD,847,914,-26.0,87.0,1.0,240.0,cloudy,cloudy,2019,5,10,0,0,East-North Central,East-North Central
AS,BOI,GEG,955,1015,4.0,80.0,1.0,287.0,snow & rain,snow & rain,2019,1,23,0,0,North-West,Pacific
HA,HNL,KOA,1531,1619,-6.0,48.0,1.0,163.0,sunny,cloudy,2019,4,2,2,2,Pacific,Pacific
AA,PHL,SCE,905,1024,6.0,79.0,1.0,153.0,cloudy,cloudy,2018,5,4,0,0,Mid-Atlantic,Mid-Atlantic
AA,CVG,ORD,1533,1600,-13.0,87.0,1.0,264.0,cloudy,rain,2019,3,10,2,2,East-North Central,East-North Central
DL,RDU,DCA,1851,2011,95.0,80.0,1.0,227.0,rain,rain,2019,8,15,3,3,South-Atlantic,Mid-Atlantic
UA,EWR,RSW,830,1124,-9.0,174.0,1.0,1068.0,cloudy,sunny,2018,10,7,0,0,Mid-Atlantic,South-Atlantic
AS,DFW,SEA,625,840,23.0,255.0,1.0,1660.0,rain,sunny,2018,7,29,0,0,West-South Central,Pacific
AA,DFW,ORD,1617,1841,-2.0,144.0,1.0,801.0,sunny,cloudy,2019,12,17,2,3,West-South Central,East-North Central
WN,BOS,MDW,1920,2115,-14.0,175.0,1.0,861.0,rain,rain,2019,6,16,3,1,New England,East-North Central
DL,PDX,SLC,600,854,0.0,114.0,1.0,630.0,rain,sunny,2018,11,26,0,0,Pacific,South-West
DL,MCO,MIA,712,812,-7.0,60.0,1.0,192.0,rain,rain,2018,8,1,0,0,South-Atlantic,South-Atlantic
DL,AUS,RDU,1018,1424,-16.0,186.0,1.0,1162.0,sunny,sunny,2019,7,14,0,2,West-South Central,South-Atlantic
WN,BWI,ORF,2215,2305,87.0,50.0,1.0,159.0,sunny,sunny,2018,3,4,1,1,Mid-Atlantic,Mid-Atlantic
AS,ATL,SEA,1601,1835,-34.0,334.0,1.0,2182.0,rain,rain,2018,7,1,2,3,South-Atlantic,Pacific
AS,PDX,SJC,635,830,-14.0,115.0,1.0,569.0,cloudy,sunny,2019,8,9,0,0,Pacific,Pacific
F9,PBI,TTN,1727,2006,0.0,159.0,1.0,985.0,rain,rain,2019,4,19,3,3,South-Atlantic,Mid-Atlantic
DL,JFK,IAD,2110,2245,-13.0,95.0,1.0,228.0,cloudy,sunny,2018,4,28,1,1,Mid-Atlantic,Mid-Atlantic
HA,LIH,HNL,2139,2214,-13.0,35.0,1.0,102.0,sunny,rain,2019,5,5,1,1,Pacific,Pacific
AA,FLL,CLT,1442,1653,-4.0,131.0,1.0,632.0,sunny,sunny,2018,4,19,2,2,South-Atlantic,South-Atlantic
AA,DFW,STL,1440,1619,89.0,99.0,1.0,550.0,sunny,rain,2019,4,14,2,2,West-South Central,West-North Central
UA,SFO,EWR,630,1510,-5.0,340.0,1.0,2565.0,sunny,rain,2019,4,18,0,2,Pacific,Mid-Atlantic
DL,LEX,DTW,1016,1140,1.0,84.0,1.0,296.0,rain,cloudy,2019,12,10,0,0,East-South Central,East-North Central
AA,PHX,DFW,1225,1651,0.0,146.0,1.0,868.0,sunny,cloudy,2018,6,11,2,2,South-West,West-South Central
WN,DAL,PHL,1115,1515,-16.0,180.0,1.0,1295.0,cloudy,snow,2019,1,13,0,2,West-South Central,Mid-Atlantic
UA,IAD,ROC,830,950,-18.0,80.0,1.0,288.0,sunny,rain,2019,7,30,0,0,Mid-Atlantic,Mid-Atlantic
NK,ATL,FLL,845,1041,-2.0,116.0,1.0,581.0,rain,sunny,2018,12,21,0,0,South-Atlantic,South-Atlantic
UA,IAD,EWR,830,1000,-20.0,90.0,1.0,212.0,rain,rain,2019,3,22,0,0,Mid-Atlantic,Mid-Atlantic
AA,MCO,PHL,1105,1332,-13.0,147.0,1.0,861.0,cloudy,rain,2019,6,5,0,2,South-Atlantic,Mid-Atlantic
AA,LGA,PHL,559,707,-23.0,68.0,1.0,96.0,sunny,sunny,2018,8,30,0,0,Mid-Atlantic,Mid-Atlantic
DL,MSP,LAS,1806,1935,-38.0,209.0,1.0,1299.0,sunny,sunny,2019,11,22,3,3,West-North Central,South-West
UA,ORD,EAU,1135,1257,-25.0,82.0,1.0,269.0,cloudy,sunny,2018,4,1,0,2,East-North Central,East-North Central
UA,DFW,SFO,720,925,33.0,245.0,1.0,1464.0,rain,cloudy,2019,5,20,0,0,West-South Central,Pacific
UA,SFO,SNA,2030,2201,-20.0,91.0,1.0,372.0,cloudy,cloudy,2019,11,14,3,1,Pacific,Pacific
WN,ATL,BWI,1945,2140,-5.0,115.0,1.0,577.0,sunny,sunny,2019,9,29,3,1,South-Atlantic,Mid-Atlantic
AA,DCA,DFW,859,1132,-29.0,213.0,1.0,1192.0,sunny,rain,2018,10,1,0,0,Mid-Atlantic,West-South Central
DL,JFK,CLE,1817,2038,0.0,141.0,1.0,425.0,rain,rain,2018,7,27,3,3,Mid-Atlantic,East-North Central
DL,GSP,DTW,1710,1904,37.0,114.0,1.0,508.0,sunny,cloudy,2018,2,5,3,3,South-Atlantic,East-North Central
WN,PHX,MKE,1255,1815,-12.0,200.0,1.0,1460.0,sunny,cloudy,2018,3,21,2,3,South-West,East-North Central
AA,SFO,ORD,750,1410,0.0,260.0,1.0,1846.0,rain,sunny,2019,4,15,0,2,Pacific,East-North Central
UA,DEN,EUG,950,1152,11.0,182.0,1.0,996.0,rain,sunny,2019,10,1,0,0,South-West,Pacific
WN,MSY,FLL,1755,2050,27.0,115.0,1.0,674.0,rain,rain,2019,12,27,3,3,West-South Central,South-Atlantic
DL,IAH,ATL,710,1011,-14.0,121.0,1.0,689.0,cloudy,sunny,2018,11,17,0,0,West-South Central,South-Atlantic
NK,MSY,ACY,955,1339,-20.0,164.0,1.0,1103.0,sunny,sunny,2018,7,20,0,2,West-South Central,Mid-Atlantic
DL,CVG,DTW,1200,1308,54.0,68.0,1.0,229.0,sunny,sunny,2018,7,25,2,2,East-North Central,East-North Central
DL,CVG,BOS,705,919,-14.0,134.0,1.0,752.0,sunny,cloudy,2018,9,20,0,0,East-North Central,New England
DL,SAN,ATL,2159,500,2.0,241.0,1.0,1892.0,rain,sunny,2019,12,26,1,0,Pacific,South-Atlantic
DL,BWI,DTW,2010,2144,30.0,94.0,1.0,409.0,sunny,rain,2019,7,15,3,1,Mid-Atlantic,East-North Central
UA,DEN,BOI,816,1037,8.0,141.0,1.0,649.0,snow,sunny,2019,1,22,0,0,South-West,North-West
WN,MCI,ATL,920,1215,-8.0,115.0,1.0,692.0,rain,sunny,2019,5,24,0,2,West-North Central,South-Atlantic
UA,ORD,SDF,700,926,-10.0,86.0,1.0,286.0,sunny,sunny,2018,7,8,0,0,East-North Central,East-South Central
WN,ONT,PDX,1020,1235,-9.0,135.0,1.0,838.0,sunny,sunny,2018,5,7,0,2,Pacific,Pacific
AS,SFO,DAL,1600,2141,8.0,221.0,1.0,1476.0,cloudy,sunny,2019,11,8,2,1,Pacific,West-South Central
AA,BOI,PHX,1130,1236,3.0,126.0,1.0,735.0,sunny,sunny,2018,6,1,0,2,North-West,South-West
AA,JAN,CLT,1045,1336,-7.0,111.0,1.0,562.0,rain,rain,2018,11,9,0,2,East-South Central,South-Atlantic
AA,BOS,ORD,1500,1702,42.0,182.0,1.0,867.0,sunny,cloudy,2019,12,16,2,3,New England,East-North Central
DL,CVG,LAS,710,841,-10.0,271.0,1.0,1678.0,sunny,rain,2019,3,12,0,0,East-North Central,South-West
UA,ELP,IAH,800,1055,3.0,115.0,1.0,667.0,sunny,cloudy,2018,12,25,0,0,West-South Central,West-South Central
DL,ERI,DTW,1019,1130,-16.0,71.0,1.0,164.0,rain,rain,2018,10,28,0,0,Mid-Atlantic,East-North Central
AA,LGA,CMH,2204,3,-6.0,119.0,1.0,479.0,sunny,sunny,2019,12,20,1,1,Mid-Atlantic,East-North Central
UA,COS,LAX,1240,1421,-19.0,161.0,1.0,833.0,sunny,sunny,2018,11,20,2,2,South-West,Pacific
DL,HNL,LAX,800,1524,15.0,324.0,1.0,2556.0,sunny,sunny,2018,1,15,0,2,Pacific,Pacific
B6,BOS,MVY,1134,1218,-28.0,44.0,1.0,70.0,sunny,sunny,2019,7,4,0,2,New England,New England
UA,SFO,OGG,935,1148,9.0,313.0,1.0,2338.0,cloudy,no weather data,2018,4,9,0,0,Pacific,Pacific
UA,EWR,PWM,2159,2317,101.0,78.0,1.0,284.0,snow & rain,snow,2019,1,29,1,1,Mid-Atlantic,New England
UA,HSV,IAH,630,841,-15.0,131.0,1.0,595.0,rain,rain,2018,12,1,0,0,East-South Central,West-South Central
DL,BMI,ATL,1600,1843,1.0,103.0,1.0,533.0,cloudy,rain,2018,11,2,2,3,East-North Central,South-Atlantic
UA,DEN,LAR,1900,1952,-4.0,52.0,1.0,113.0,sunny,sunny,2019,1,3,3,3,South-West,North-West
DL,ICT,MSP,1342,1530,0.0,108.0,1.0,545.0,rain,sunny,2018,8,10,2,2,West-North Central,West-North Central
AA,ORD,ATL,1834,2131,-17.0,117.0,1.0,606.0,rain,sunny,2019,3,21,3,1,East-North Central,South-Atlantic
DL,LAX,LAS,920,1037,-10.0,77.0,1.0,236.0,sunny,sunny,2018,4,25,0,0,Pacific,South-West
AA,CHS,CLT,1604,1720,-12.0,76.0,1.0,168.0,cloudy,cloudy,2018,1,10,2,3,South-Atlantic,South-Atlantic
