,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
2607,0.0,9.0,871200.0,0.0,0.0,670782.0,0.0,1017.0,0.0,0.0,6R,21061,Aerounion Aerotransporte de Carga Union SA de CV,I,6R,Aerounion Aerotransporte de Carga Union SA de CV,0,0,13303,32467,MIA,"Miami, FL",US,United States,12010,32010,GUA,"Guatemala City, Guatemala",GT,Guatemala,6,690,2,2019,5,3,G,IF
2608,3.0,3.0,109200.0,540.0,414.0,0.0,0.0,1290.0,515.0,449.0,F9,20436,Frontier Airlines Inc.,D,F9,Frontier Airlines Inc.,3,3,11292,30325,DEN,"Denver, CO",US,United States,14122,30198,PIT,"Pittsburgh, PA",US,United States,6,694,1,2017,1,3,F,DU
2609,0.0,9.0,1836000.0,0.0,0.0,1550369.0,0.0,4118.0,4615.0,4240.0,KD,21629,Western Global,I,KD,Western Global,1,1,14717,34717,SCL,"Santiago, Chile",CL,Chile,13303,32467,MIA,"Miami, FL",US,United States,7,740,2,2018,5,9,P,IU
2610,52.0,52.0,650000.0,2599.0,1867.0,0.0,0.0,255.0,3821.0,2482.0,9E,20363,Endeavor Air Inc.,D,9E,Endeavor Air Inc.,2,2,10821,30852,BWI,"Baltimore, MD",US,United States,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,6,629,1,2019,5,1,F,DU
2611,0.0,9.0,168480.0,621.0,501.0,0.0,0.0,109.0,509.0,254.0,CP,21167,Compass Airlines,D,CP,Compass Airlines,2,2,14679,33570,SAN,"San Diego, CA",US,United States,12892,32575,LAX,"Los Angeles, CA",US,United States,6,677,1,2016,1,1,F,DU
2612,7.0,7.0,249354.0,896.0,842.0,193.0,0.0,787.0,952.0,852.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,15304,33195,TPA,"Tampa, FL",US,United States,12266,31453,IAH,"Houston, TX",US,United States,6,698,1,2016,4,2,F,DU
2613,4.0,3.0,52830.0,210.0,181.0,0.0,0.0,700.0,394.0,299.0,G7,20500,GoJet Airlines LLC d/b/a United Express,D,G7,GoJet Airlines LLC d/b/a United Express,2,2,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,13303,32467,MIA,"Miami, FL",US,United States,6,631,1,2016,4,2,F,DU
2614,0.0,3.0,4050.0,18.0,3.0,102.0,316.0,63.0,109.0,98.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,10996,30996,CHU,"Chuathbaluk, AK",US,United States,14493,34493,RDV,"Red Devil, AK",US,United States,0,35,3,2019,8,1,F,DU
2615,2.0,2.0,38184.0,140.0,131.0,0.0,0.0,900.0,309.0,210.0,YX,20452,Republic Airline,D,YX,Republic Airline,2,2,13930,30977,ORD,"Chicago, IL",US,United States,14321,34321,PWM,"Portland, ME",US,United States,6,677,1,2018,12,2,F,DU
2616,1.0,1.0,34730.0,126.0,81.0,0.0,0.0,2021.0,299.0,279.0,SY,20422,Sun Country Airlines d/b/a MN Airlines,L,SY,Sun Country Airlines d/b/a MN Airlines,2,2,13180,33180,MBJ,"Montego Bay, Jamaica",JM,Jamaica,13487,31650,MSP,"Minneapolis, MN",US,United States,6,612,1,2017,2,5,F,IU
2617,48.0,49.0,1695400.0,7007.0,5919.0,15384.0,0.0,675.0,5455.0,4642.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10693,30693,BNA,"Nashville, TN",US,United States,14100,34100,PHL,"Philadelphia, PA",US,United States,6,612,1,2015,5,2,F,DU
2618,4.0,4.0,44472.0,200.0,176.0,0.0,0.0,384.0,315.0,251.0,AX,20237,Trans States Airlines,D,AX,Trans States Airlines,1,5,11996,31871,GSP,"Greer, SC",US,United States,12264,30852,IAD,"Washington, DC",US,United States,6,675,1,2016,9,1,F,DU
2619,0.0,27.0,916326.0,1944.0,1330.0,44833.0,620.0,680.0,2979.0,2528.0,AS,19930,Alaska Airlines Inc.,D,AS,Alaska Airlines Inc.,3,3,12819,31401,KTN,"Ketchikan, AK",US,United States,14747,30559,SEA,"Seattle, WA",US,United States,6,617,3,2015,12,2,F,DU
2620,1.0,1.0,32200.0,143.0,142.0,841.0,0.0,1824.0,285.0,255.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11042,30647,CLE,"Cleveland, OH",US,United States,12889,32211,LAS,"Las Vegas, NV",US,United States,6,619,1,2016,6,4,F,DU
2621,0.0,1.0,1947.0,9.0,6.0,0.0,0.0,1225.0,0.0,0.0,13Q,21437,Chartright Air Inc.,I,13Q,Chartright Air Inc.,0,0,16271,36106,YYZ,"Toronto, Canada",CA,Canada,13898,32467,OPF,"Miami, FL",US,United States,6,686,1,2019,3,3,L,IF
2622,0.0,2.0,65318.0,256.0,178.0,0.0,1943.0,177.0,133.0,84.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,12339,32337,IND,"Indianapolis, IN",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,698,1,2019,8,1,F,DU
2623,0.0,31.0,105400.0,279.0,91.0,1909.0,31967.0,150.0,2067.0,1861.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,13970,33970,OTZ,"Kotzebue, AK",US,United States,14102,34102,PHO,"Point Hope, AK",US,United States,4,416,3,2019,9,1,F,DU
2624,0.0,16.0,17600.0,106.0,21.0,90.0,1909.0,27.0,310.0,260.0,GV,20455,Grant Aviation,D,GV,Grant Aviation,1,5,15862,35862,WTL,"Tuntutuliak, AK",US,United States,12708,32708,KKH,"Kongiganak, AK",US,United States,0,26,1,2017,8,1,F,DU
2625,2.0,2.0,86800.0,350.0,215.0,1594.0,0.0,936.0,342.0,287.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10821,30852,BWI,"Baltimore, MD",US,United States,13487,31650,MSP,"Minneapolis, MN",US,United States,6,838,1,2018,12,2,F,DU
2626,0.0,23.0,3137200.0,7222.0,6140.0,403735.0,0.0,7058.0,0.0,0.0,MU,19958,China Eastern Airlines,I,MU,China Eastern Airlines,0,0,14309,34309,PVG,"Shanghai, China",CN,China,13930,30977,ORD,"Chicago, IL",US,United States,6,696,1,2019,8,15,F,IF
2627,19.0,19.0,66500.0,0.0,0.0,12530.0,0.0,250.0,1747.0,1592.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,12899,32899,LBF,"North Platte, NE",US,United States,13871,33316,OMA,"Omaha, NE",US,United States,4,416,2,2015,11,1,G,DU
2628,154.0,154.0,5727106.0,22751.0,20901.0,0.0,0.0,2475.0,49328.0,45741.0,VX,21171,Virgin America,D,VX,Virgin America,3,3,12892,32575,LAX,"Los Angeles, CA",US,United States,12478,31703,JFK,"New York, NY",US,United States,6,694,1,2015,5,5,F,DU
2629,1.0,1.0,43400.0,175.0,12.0,55.0,0.0,393.0,85.0,64.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13198,33198,MCI,"Kansas City, MO",US,United States,13487,31650,MSP,"Minneapolis, MN",US,United States,6,614,1,2017,12,1,F,DU
2630,51.0,51.0,651525.0,2550.0,2117.0,0.0,0.0,569.0,6250.0,4614.0,C5,20445,"Commutair Aka Champlain Enterprises, Inc.",D,C5,"Commutair Aka Champlain Enterprises, Inc.",1,6,11193,33105,CVG,"Cincinnati, OH",US,United States,11618,31703,EWR,"Newark, NJ",US,United States,6,675,1,2019,10,2,F,DU
2631,7.0,7.0,249805.0,1050.0,867.0,7954.0,2010.0,2139.0,1865.0,1682.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14771,32457,SFO,"San Francisco, CA",US,United States,10397,30397,ATL,"Atlanta, GA",US,United States,6,694,1,2017,3,5,F,DU
2632,1.0,1.0,10000.0,50.0,0.0,0.0,0.0,396.0,84.0,60.0,EV,20366,ExpressJet Airlines LLC,D,EV,ExpressJet Airlines Inc.,3,3,10874,30647,CAK,"Akron, OH",US,United States,13931,33667,ORF,"Norfolk, VA",US,United States,6,675,1,2016,7,1,F,DU
2633,23.0,23.0,1828543.0,4875.0,3769.0,97176.0,2613.0,4052.0,10546.0,9910.0,UA,19977,United Air Lines Inc.,A,UA,United Air Lines Inc.,3,3,11618,31703,EWR,"Newark, NJ",US,United States,13518,33518,MUC,"Munich, Germany",DE,Germany,6,626,1,2019,3,9,F,IU
2634,26.0,34.0,598740.0,2380.0,1954.0,0.0,0.0,264.0,2734.0,1683.0,G7,20500,GoJet Airlines LLC d/b/a United Express,D,G7,GoJet Airlines LLC d/b/a United Express,2,2,12478,31703,JFK,"New York, NY",US,United States,14576,34576,ROC,"Rochester, NY",US,United States,6,631,1,2016,4,1,F,DU
2635,1.0,1.0,10000.0,50.0,45.0,0.0,0.0,610.0,164.0,120.0,EV,20366,ExpressJet Airlines LLC,D,EV,ExpressJet Airlines LLC,2,2,11996,31871,GSP,"Greer, SC",US,United States,12953,31703,LGA,"New York, NY",US,United States,6,675,1,2019,6,2,F,DU
2636,6.0,6.0,114552.0,420.0,369.0,0.0,0.0,912.0,870.0,681.0,YX,20452,Republic Airline,D,YX,Republic Airline,3,3,12266,31453,IAH,"Houston, TX",US,United States,11057,31057,CLT,"Charlotte, NC",US,United States,6,677,1,2019,12,2,F,DU
2637,3.0,3.0,130200.0,525.0,447.0,1139.0,0.0,632.0,295.0,258.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13232,30977,MDW,"Chicago, IL",US,United States,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,6,614,1,2019,9,2,F,DU
2638,0.0,1.0,34600.0,143.0,135.0,5.0,0.0,359.0,68.0,52.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,10279,30279,AMA,"Amarillo, TX",US,United States,11292,30325,DEN,"Denver, CO",US,United States,6,612,1,2019,2,1,F,DU
2639,0.0,1.0,2343.0,9.0,2.0,0.0,0.0,2566.0,0.0,0.0,LDM,21569,Laudamotion GmbH,I,LDM,Laudamotion GmbH,0,0,12651,32651,KEF,"Keflavik/Reykjavik, Iceland",IS,Iceland,12197,31703,HPN,"White Plains, NY",US,United States,6,609,1,2016,4,6,L,IF
2640,55.0,55.0,673200.0,2750.0,1140.0,700.0,0.0,335.0,4203.0,3088.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,10874,30647,CAK,"Akron, OH",US,United States,14100,34100,PHL,"Philadelphia, PA",US,United States,6,629,1,2016,4,1,F,DU
2641,2.0,2.0,7000.0,0.0,0.0,5320.0,0.0,134.0,143.0,132.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,12003,31895,GTF,"Great Falls, MT",US,United States,13486,33486,MSO,"Missoula, MT",US,United States,4,416,2,2015,8,1,G,DU
2642,0.0,10.0,1134826.0,2970.0,2815.0,48281.0,0.0,4800.0,0.0,0.0,BA,19540,British Airways Plc,I,BA,British Airways Plc,0,0,14747,30559,SEA,"Seattle, WA",US,United States,12972,30730,LHR,"London, United Kingdom",GB,United Kingdom,6,637,1,2017,8,10,F,IF
2643,1.0,1.0,15200.0,76.0,67.0,0.0,0.0,678.0,151.0,112.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,14100,34100,PHL,"Philadelphia, PA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,673,1,2017,11,2,F,DU
2644,56.0,56.0,1937600.0,8008.0,6137.0,4160.0,0.0,367.0,3931.0,2992.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14679,33570,SAN,"San Diego, CA",US,United States,15376,30436,TUS,"Tucson, AZ",US,United States,6,612,1,2018,4,1,F,DU
2645,9.0,9.0,167565.0,630.0,439.0,0.0,0.0,157.0,709.0,389.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,11823,31823,FWA,"Fort Wayne, IN",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,631,1,2018,5,1,F,DU
2646,26.0,26.0,468000.0,0.0,0.0,314919.0,0.0,167.0,1402.0,1078.0,FX,20107,Federal Express Corporation,L,FX,Federal Express Corporation,3,3,10732,30732,BQN,"Aguadilla, PR",US,United States,14739,32105,SDQ,"Santo Domingo, Dominican Republic",DO,Dominican Republic,1,110,2,2018,10,1,G,IU
2647,1.0,1.0,15200.0,76.0,73.0,0.0,0.0,196.0,65.0,37.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,13502,33502,MTJ,"Montrose/Delta, CO",US,United States,11292,30325,DEN,"Denver, CO",US,United States,6,673,1,2018,5,1,F,DU
2648,0.0,1.0,41811.0,166.0,62.0,11947.0,0.0,725.0,109.0,95.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,13232,30977,MDW,"Chicago, IL",US,United States,12953,31703,LGA,"New York, NY",US,United States,6,614,1,2019,4,2,L,DU
2649,0.0,31.0,2266814.0,7440.0,5371.0,0.0,0.0,3819.0,0.0,0.0,NH,19791,All Nippon Airways Co.,I,NH,All Nippon Airways Co.,0,0,12173,32134,HNL,"Honolulu, HI",US,United States,13744,32169,NRT,"Tokyo, Japan",JP,Japan,6,887,1,2017,7,8,F,IF
2650,0.0,3.0,3300.0,21.0,14.0,51.0,0.0,17.0,36.0,28.0,GV,20455,Grant Aviation,D,GV,Grant Aviation,1,5,12779,32779,KPN,"Kipnuk, AK",US,United States,11227,31227,CYF,"Chefornak, AK",US,United States,0,26,1,2016,5,1,F,DU
2651,132.0,129.0,1290000.0,6450.0,5241.0,0.0,0.0,199.0,9188.0,5301.0,EV,20366,ExpressJet Airlines LLC,D,EV,ExpressJet Airlines Inc.,3,3,11278,30852,DCA,"Washington, DC",US,United States,11618,31703,EWR,"Newark, NJ",US,United States,6,675,1,2015,10,1,F,DU
2652,20.0,20.0,358800.0,1400.0,1210.0,0.0,0.0,1019.0,3384.0,2651.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,16042,36039,YEG,"Edmonton, Canada",CA,Canada,11292,30325,DEN,"Denver, CO",US,United States,6,631,1,2015,11,3,F,IU
2653,25.0,24.0,959520.0,3816.0,3177.0,1337.0,0.0,867.0,3537.0,2843.0,AS,19930,Alaska Airlines Inc.,D,AS,Alaska Airlines Inc.,3,3,14747,30559,SEA,"Seattle, WA",US,United States,12889,32211,LAS,"Las Vegas, NV",US,United States,6,614,1,2017,2,2,F,DU
2654,28.0,28.0,2160376.0,0.0,0.0,901948.0,0.0,1386.0,5409.0,5087.0,5X,19917,United Parcel Service,D,5X,United Parcel Service,3,3,14512,34512,RFD,"Rockford, IL",US,United States,14107,30466,PHX,"Phoenix, AZ",US,United States,6,622,2,2019,6,3,G,DU
2655,28.0,28.0,968800.0,4004.0,3605.0,7246.0,0.0,1756.0,6424.0,5856.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,12892,32575,LAX,"Los Angeles, CA",US,United States,13342,33342,MKE,"Milwaukee, WI",US,United States,6,612,1,2018,8,4,F,DU
2656,4.0,4.0,319020.0,0.0,0.0,164263.0,0.0,466.0,298.0,254.0,5X,19917,United Parcel Service,D,5X,United Parcel Service,3,3,14730,33044,SDF,"Louisville, KY",US,United States,10146,30146,ABY,"Albany, GA",US,United States,6,622,2,2017,3,1,G,DU
2657,88.0,88.0,3819200.0,15400.0,11915.0,13150.0,0.0,605.0,9191.0,7355.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,14747,30559,SEA,"Seattle, WA",US,United States,6,614,1,2017,7,2,F,DU
2658,0.0,1.0,280565.0,0.0,0.0,0.0,0.0,2475.0,331.0,303.0,5Y,20007,Atlas Air Inc.,D,5Y,Atlas Air Inc.,3,3,12892,32575,LAX,"Los Angeles, CA",US,United States,12478,31703,JFK,"New York, NY",US,United States,8,819,2,2018,9,5,P,DU
2659,0.0,1.0,63800.0,231.0,200.0,12705.0,0.0,3819.0,0.0,0.0,JL,19548,Japan Air Lines Co. Ltd.,I,JL,Japan Air Lines Co. Ltd.,0,0,13744,32169,NRT,"Tokyo, Japan",JP,Japan,12173,32134,HNL,"Honolulu, HI",US,United States,6,626,1,2015,8,8,L,IF
2660,0.0,1.0,1350.0,6.0,1.0,0.0,0.0,43.0,24.0,20.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,11227,31227,CYF,"Chefornak, AK",US,United States,12851,32851,KWK,"Kwigillingok, AK",US,United States,0,35,1,2016,8,1,F,DU
2661,52.0,51.0,323595.0,1632.0,1358.0,0.0,0.0,381.0,5729.0,4736.0,3M,20401,Silver Airways,D,3M,Silver Airways,1,6,14193,33728,PNS,"Pensacola, FL",US,United States,13204,31454,MCO,"Orlando, FL",US,United States,4,456,1,2019,3,1,F,DU
2662,0.0,33.0,15869700.0,0.0,0.0,3616623.0,0.0,1506.0,6853.0,5795.0,5Y,20007,Atlas Air Inc.,I,5Y,Atlas Air Inc.,3,3,13303,32467,MIA,"Miami, FL",US,United States,10711,30711,BOG,"Bogota, Colombia",CO,Colombia,8,819,2,2019,2,4,P,IU
2663,1.0,1.0,11500.0,48.0,17.0,0.0,0.0,213.0,106.0,79.0,PT,20427,Piedmont Airlines,D,PT,Piedmont Airlines,1,6,11057,31057,CLT,"Charlotte, NC",US,United States,14685,34685,SAV,"Savannah, GA",US,United States,4,484,1,2017,1,1,F,DU
2664,34.0,33.0,1342710.0,5280.0,3974.0,0.0,0.0,236.0,2080.0,1320.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,12889,32211,LAS,"Las Vegas, NV",US,United States,12892,32575,LAX,"Los Angeles, CA",US,United States,6,614,1,2016,9,1,F,DU
2665,0.0,1.0,40870.0,160.0,158.0,285.0,0.0,1487.0,225.0,204.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,11697,32467,FLL,"Fort Lauderdale, FL",US,United States,13487,31650,MSP,"Minneapolis, MN",US,United States,6,614,1,2018,6,3,F,DU
2666,20.0,20.0,1264512.0,0.0,0.0,511556.0,0.0,1038.0,3129.0,2702.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,11122,31122,CPR,"Casper, WY",US,United States,13244,33244,MEM,"Memphis, TN",US,United States,6,622,2,2019,6,3,G,DU
2667,28.0,28.0,2294154.0,0.0,0.0,1190192.0,0.0,238.0,1716.0,1167.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,13342,33342,MKE,"Milwaukee, WI",US,United States,12339,32337,IND,"Indianapolis, IN",US,United States,6,692,2,2017,2,1,G,DU
2668,1.0,1.0,30000.0,150.0,96.0,0.0,0.0,494.0,93.0,70.0,F9,20436,Frontier Airlines Inc.,D,F9,Frontier Airlines Inc.,3,3,13495,33495,MSY,"New Orleans, LA",US,United States,14683,33214,SAT,"San Antonio, TX",US,United States,6,698,1,2018,1,1,F,DU
2669,0.0,2.0,2800.0,16.0,5.0,0.0,0.0,254.0,195.0,191.0,8V,20333,Wright Air Service,D,8V,Wright Air Service,1,5,11630,31517,FAI,"Fairbanks, AK",US,United States,12214,32214,HSL,"Huslia, AK",US,United States,1,194,1,2018,2,1,L,DU
2670,1.0,1.0,42502.0,169.0,77.0,273.0,0.0,991.0,140.0,121.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14057,34057,PDX,"Portland, OR",US,United States,11292,30325,DEN,"Denver, CO",US,United States,6,622,1,2016,2,2,F,DU
2671,1.0,1.0,17600.0,67.0,60.0,0.0,0.0,372.0,86.0,71.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,10994,30994,CHS,"Charleston, SC",US,United States,10990,30990,CHO,"Charlottesville, VA",US,United States,6,631,1,2015,9,1,F,DU
2672,1.0,1.0,103843.0,0.0,0.0,10520.0,0.0,247.0,77.0,54.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,14683,33214,SAT,"San Antonio, TX",US,United States,11298,30194,DFW,"Dallas/Fort Worth, TX",US,United States,6,691,2,2019,12,1,G,DU
2673,59.0,51.0,1764600.0,7293.0,5351.0,15577.0,0.0,899.0,6955.0,5867.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11697,32467,FLL,"Fort Lauderdale, FL",US,United States,11278,30852,DCA,"Washington, DC",US,United States,6,612,1,2017,9,2,F,DU
2674,25.0,25.0,544180.0,1900.0,1719.0,0.0,0.0,573.0,2597.0,1999.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,11057,31057,CLT,"Charlotte, NC",US,United States,14576,34576,ROC,"Rochester, NY",US,United States,6,638,1,2018,8,2,F,DU
2675,4.0,4.0,128800.0,572.0,556.0,0.0,0.0,907.0,566.0,473.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,13487,31650,MSP,"Minneapolis, MN",US,United States,10397,30397,ATL,"Atlanta, GA",US,United States,6,619,1,2017,8,2,F,DU
2676,2.0,2.0,123480.0,468.0,464.0,6.0,0.0,1306.0,387.0,356.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,15304,33195,TPA,"Tampa, FL",US,United States,13487,31650,MSP,"Minneapolis, MN",US,United States,6,623,1,2018,4,3,F,DU
2677,29.0,29.0,440800.0,2204.0,1492.0,0.0,0.0,89.0,1474.0,775.0,OO,20304,SkyWest Airlines Inc.,D,OO,SkyWest Airlines Inc.,3,3,14689,34689,SBA,"Santa Barbara, CA",US,United States,12892,32575,LAX,"Los Angeles, CA",US,United States,6,673,1,2019,10,1,F,DU
2678,0.0,4.0,186000.0,0.0,0.0,164740.0,0.0,129.0,175.0,101.0,PFQ,20177,Asia Pacific,I,PFQ,Asia Pacific,1,1,12016,32016,GUM,"Guam, TT",US,United States,14955,34955,SPN,"Saipan, TT",US,United States,7,715,2,2015,8,1,P,DU
2679,0.0,3.0,10200.0,27.0,18.0,0.0,0.0,88.0,112.0,100.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,14234,34234,PQS,"Pilot Station, AK",US,United States,14718,34718,SCM,"Scammon Bay, AK",US,United States,4,416,1,2016,2,1,L,DU
2680,0.0,1.0,20334.0,54.0,0.0,0.0,0.0,861.0,157.0,129.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,14100,34100,PHL,"Philadelphia, PA",US,United States,13204,31454,MCO,"Orlando, FL",US,United States,6,698,1,2016,1,2,L,DU
2681,0.0,1.0,34700.0,179.0,87.0,0.0,0.0,980.0,141.0,128.0,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,09Q,"Swift Air, LLC",1,1,10136,30136,ABI,"Abilene, TX",US,United States,11563,31563,ENV,"Wendover, UT",US,United States,6,617,1,2017,12,2,L,DU
2682,0.0,28.0,2727061.0,9088.0,7827.0,676339.0,0.0,3856.0,0.0,0.0,LH,19554,Lufthansa German Airlines,I,LH,Lufthansa German Airlines,0,0,11760,31760,FRA,"Frankfurt, Germany",DE,Germany,12478,31703,JFK,"New York, NY",US,United States,8,874,1,2015,3,8,F,IF
2683,0.0,2.0,2700.0,12.0,4.0,0.0,0.0,64.0,83.0,75.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,14718,34718,SCM,"Scammon Bay, AK",US,United States,13434,33434,MOU,"Mountain Village, AK",US,United States,0,35,3,2018,8,1,L,DU
2684,20.0,20.0,1257292.0,0.0,0.0,243785.0,0.0,188.0,884.0,630.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,11638,31638,FAT,"Fresno, CA",US,United States,14570,34570,RNO,"Reno, NV",US,United States,6,622,2,2016,5,1,G,DU
2685,340.0,320.0,15193600.0,57152.0,48160.0,334357.0,33050.0,1448.0,67622.0,60120.0,AS,19930,Alaska Airlines Inc.,D,AS,Alaska Airlines Inc.,3,3,14747,30559,SEA,"Seattle, WA",US,United States,10299,30299,ANC,"Anchorage, AK",US,United States,6,888,1,2017,8,3,F,DU
2686,39.0,39.0,481650.0,1950.0,1497.0,16.0,0.0,692.0,4677.0,3637.0,MQ,20398,Envoy Air,D,MQ,Envoy Air,3,3,11298,30194,DFW,"Dallas/Fort Worth, TX",US,United States,11067,31067,CMI,"Champaign/Urbana, IL",US,United States,6,675,1,2018,12,2,F,DU
2687,0.0,41.0,1690348.0,6888.0,5342.0,0.0,0.0,1081.0,0.0,0.0,WS,20229,Westjet,I,WS,Westjet,0,0,16229,31215,YVR,"Vancouver, Canada",CA,Canada,12892,32575,LAX,"Los Angeles, CA",US,United States,6,614,1,2016,12,3,F,IF
2688,61.0,56.0,235200.0,504.0,251.0,0.0,0.0,119.0,2688.0,2520.0,MW,21242,"Mokulele Flight Services, Inc.",D,MW,"Mokulele Flight Services, Inc.",1,5,12758,32758,KOA,"Kona, HI",US,United States,13347,33347,MKK,"Hoolehua, HI",US,United States,4,416,1,2016,5,1,F,DU
2689,0.0,3.0,16636.0,0.0,0.0,832.0,1551.0,373.0,296.0,290.0,KO,20341,Alaska Central Express,D,KO,Alaska Central Express,1,5,15991,35991,YAK,"Yakutat, AK",US,United States,10299,30299,ANC,"Anchorage, AK",US,United States,4,405,2,2017,1,1,G,DU
2690,1.0,1.0,40345.0,179.0,97.0,0.0,0.0,936.0,130.0,113.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,15376,30436,TUS,"Tucson, AZ",US,United States,12266,31453,IAH,"Houston, TX",US,United States,6,634,1,2017,4,2,F,DU
2691,0.0,6.0,13200.0,48.0,13.0,65.0,123.0,35.0,115.0,76.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,12615,32615,KAL,"Kaltag, AK",US,United States,13768,33768,NUL,"Nulato, AK",US,United States,1,194,3,2018,1,1,F,DU
2692,20.0,20.0,70000.0,0.0,0.0,29475.0,0.0,71.0,952.0,714.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,13540,33540,MVW,"Burlington/Mount Vernon, WA",US,United States,14747,30559,SEA,"Seattle, WA",US,United States,4,416,2,2017,1,1,G,DU
2693,19.0,19.0,362748.0,1330.0,959.0,0.0,0.0,667.0,2349.0,1883.0,YX,20452,Republic Airline,D,YX,Republic Airline,3,3,15016,31123,STL,"St. Louis, MO",US,United States,12266,31453,IAH,"Houston, TX",US,United States,6,677,1,2019,8,2,F,DU
2694,3.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,0.0,0.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,14869,34614,SLC,"Salt Lake City, UT",US,United States,14107,30466,PHX,"Phoenix, AZ",US,United States,6,627,1,2016,1,2,F,DU
2695,0.0,3.0,3000.0,15.0,4.0,0.0,0.0,27.0,60.0,48.0,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,11299,31299,DGB,"Danger Bay, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2017,9,1,L,DU
